Country,Year,Bitcoin_Premium,Bitcoin_Return,Stock_Market_Return,Currency_Return,Interest_Rate,Inflation,Real_Interest_Rate,Tariff_Rate,Income_Tax_Rate,Corporate_Tax_Rate,Tax_Burden_%_of_GDP,Govt_Expenditure_%_of_GDP,Property_Rights,Economic_Freedom,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom,Financial_Freedom,Trading_Volume,Percent_Global_Volume
Argentina,2014,0.2465952361,8.472785022,61.23817703,29.86109332,26.86,10,16.86,5.6,35,35,34.6,40.9,15,44.6,53.9,44.9,60,68.9,30,30,2014.351085,0.00009540974336
Argentina,2015,0.3165534208,-0.574573604,34.71643911,52.97065883,33.00,10.6,22.40,5.6,35,35,29.5,44.3,15,44.1,52.8,43.3,59.6,68.8,30,30,6242.706,0.0001538066107
Argentina,2016,0.1174579225,0.06730859575,46.88738074,22.92744935,24.75,37.6,-12.85,6.3,35,35,30.6,40.3,15,43.8,56,43.9,44,67.4,30,30,4335.9453,0.0001285962803
Argentina,2017,0.1278719673,1.321082301,71.23588194,20.53047083,28.75,26.5,2.25,6.6,35,35,35.9,43.9,32.4,50.4,57.3,46.1,50.9,66.7,50,50,1640.75223,0.00003147540578
Argentina,2018,0.1978980224,13.68562727,-2.547260913,96.54274288,59.25,58.4,0.85,7.4,35,35,31.3,38.5,40.8,52.3,56.2,43.3,51.3,70.3,55,60,1281.74801,0.0000293333887
Argentina,2019,-0.3723456172,-0.8313222994,34.00628674,58.88567042,55.00,25.7,29.30,7.5,35,30,30.8,41,47.8,52.2,56.4,46.9,60.2,70,55,60,37.76890184,0.000001738097826
Argentina,2020,0.236478059,2.330571253,24.61746175,40.50111694,38.00,34.3,3.70,7.9,35,30,30.3,40.5,50.5,53.1,60.2,46.5,53.7,69.2,55,60,41.54579202,0.000001971849178
Argentina,2021,0.4756147758,4.951545138,64.59417068,22.03752316,38.00,53.5,-15.50,13.7,35,30,28.9,39.6,46.1,52.7,59.5,46.3,41.9,62.6,55,60,45.70037123,0.000002610109317
Argentina,2022,0.5024562933,0.7119599211,136.138368,72.22914955,75.00,42,33.00,12.2,35,25,28.6,39.6,35.1,50.1,55.1,51,37.9,60.6,55,60,50.27040835,0.000003356685169
Australia,2014,-5.782614258,43.96651193,0.8029229017,8.932863822,2.50,1.8,0.70,1.8,45,30,25.6,35.3,90,82,94.6,79.2,80.5,86.4,85,90,270244.8331,0.01280014708
Australia,2015,-5.343121272,-0.5873377435,-2.57547053,12.34143477,2.00,2.5,-0.50,1.8,45,30,26.5,35.7,90,81.4,94.1,81.6,85.3,86.4,80,90,430233.2837,0.01060000634
Australia,2016,-8.531540541,-0.08280692115,7.500233463,0.6920686872,1.50,2.5,-1.00,1.8,45,30,27.5,35.6,90,80.3,89.4,77.2,85.2,86.4,80,90,131114.6337,0.003888622439
Australia,2017,-10.56293786,0.8907332999,5.789086218,-7.177689458,1.50,1.5,0.00,1.9,45,30,27.5,37.2,81.7,81,89.3,84.1,86.4,86.2,80,90,168154.4778,0.003225795051
Australia,2018,-12.61790048,10.46832199,-6.845064849,10.63999071,1.50,1.3,0.20,1.9,45,30,27.8,36,78.7,80.9,89.1,79.7,87.4,86.2,80,90,138853.995,0.003177737105
Australia,2019,-25.92705822,-0.8540470655,20.26521884,0.6189477351,0.75,2,-1.25,1.2,45,30,28.2,36.5,79.1,80.9,88.3,84.1,86.6,87.6,80,90,77722.15062,0.003576717734
Australia,2020,-40.53468192,0.2013091132,-1.54694644,-8.94610123,0.10,2,-1.90,0.9,45,30,27.8,35.8,82.8,82.6,87.8,84,86.2,88.2,80,90,67653.06768,0.003210954454
Australia,2021,-64.29000936,1.600296156,11.37607911,6.062082398,0.10,1.6,-1.50,2.6,45,30,28.5,37.4,81.5,82.4,87.4,84.1,86.7,89.8,80,90,67912.01333,0.003878694505
Australia,2022,-73.46341828,0.4242234969,-7.261055938,7.150476069,3.10,0.9,2.20,2.5,45,30,28.7,40.2,91.7,77.7,84.6,64.2,83.2,90,80,90,34230.24282,0.002285641835
Brazil,2014,-1.841625209,12.57517313,-0.6634750998,12.49999747,11.75,5.4,6.35,7.9,27.5,34,34.8,39.1,50,56.9,53.8,49.8,69.9,69.3,55,60,25089.82746,0.00118837973
Brazil,2015,-1.928799548,-0.6255638314,-10.64066623,49.07879033,14.25,6.2,8.05,7.7,27.5,34,35.3,40.4,50,56.6,53.6,52.1,69.4,69.6,50,60,39349.80843,0.000969493144
Brazil,2016,-2.116851873,0.2950732694,42.9178235,-17.80271557,13.75,6.3,7.45,7.8,27.5,34,33.4,38.6,45,56.5,61.4,52.5,64.2,69.4,55,50,49436.8674,0.001466207901
Brazil,2017,-3.455520882,0.6045492251,28.214939,1.807950731,7.00,9,-2.00,7.8,27.5,34,32.8,41.9,55,52.9,61.3,52.3,67,69.4,50,50,139375.5233,0.002673713356
Brazil,2018,-4.12385784,10.74473586,12.83331836,17.00643588,6.50,8.7,-2.20,8.3,27.5,34,32,40.5,55.8,51.4,58.6,46.8,71.4,68.5,50,50,64658.28634,0.001479734419
Brazil,2019,-8.655446277,-0.8468502456,27.4161649,3.652643673,4.50,3.4,1.10,8,27.5,34,32.2,38.6,57.3,51.9,57.9,51.9,75.5,69,50,50,19576.63742,0.0009009028403
Brazil,2020,-13.7746626,0.2109648326,0.6181845783,29.26326204,2.00,3.7,-1.70,8.6,27.5,34,32.3,38.9,57.3,53.7,60.5,49.5,77.2,67.8,60,50,21534.30117,0.001022062452
Brazil,2021,-15.29682617,2.705725062,-11.58589045,7.308282269,9.25,3.7,5.55,10.2,27.5,34,32.9,38.1,55,53.4,58,50.7,77.8,64.6,60,50,23687.73128,0.001352889845
Brazil,2022,-17.23238518,0.4518907239,5.878447297,-5.127287837,13.75,3.2,10.55,10,27.5,34,33.1,39.2,50.3,53.3,63.2,55.9,78.4,60,60,50,26056.50441,0.001739860184
Canada,2014,-5.124686369,48.42137565,7.637081847,9.280280877,1.00,1.5,-0.50,0.9,29,15,31,41.9,90,80.2,89.3,83.1,76.3,88.3,80,80,329364.9308,0.01560037064
Canada,2015,-6.49784207,-0.6847549974,-11.81873138,19.53674093,0.50,1,-0.50,0.8,29,15,30.7,41.5,90,79.1,89,76.1,77.9,88.4,80,80,467084.8042,0.01150794714
Canada,2016,-8.460091382,0.09234999381,18.25916965,-2.839530564,0.50,1.9,-1.40,1.5,29,15,30.6,40.7,90,78,81.8,72.6,76.9,87,80,80,168184.8296,0.004988057274
Canada,2017,-11.23050717,0.7741332307,5.233393556,-6.770989497,1.00,1.1,-0.10,0.8,33,15,30.8,40.3,88.3,78.5,81.9,73.1,77.8,88.4,80,80,245529.8801,0.004710127749
Canada,2018,-13.19787209,10.63491057,-12.18332072,8.407948045,1.75,1.4,0.35,1,33,15,31.9,39.9,87.5,77.7,81.8,71.3,77.5,88.1,80,80,157384.1422,0.003601807988
Canada,2019,-25.90256103,-0.8476925249,18.93191813,-4.121279129,1.75,1.6,0.15,1.6,33,15,31.7,40.3,87,77.7,81.9,73.7,77.2,86.8,80,80,34137.77336,0.001570995893
Canada,2020,-45.38119115,0.07480203169,1.949709887,-2.37278575,0.25,0.9,-0.65,1.5,33,15,32.2,40.5,87.7,78.2,81.7,72,76,87,80,80,30118.56573,0.001429489395
Canada,2021,-67.20947503,1.779430679,21.08079642,-0.04940135912,0.25,1.9,-1.65,3.1,33,15,33,40.9,84.5,77.9,81.4,72.4,76.1,88.8,80,80,32537.65825,0.001858340374
Canada,2022,-80.04419946,0.367090152,-8.718949023,6.336900832,4.25,0.7,3.55,3.4,33,15,33.5,44.9,89.5,76.6,78.8,68.7,78.2,83.2,80,80,21996.35421,0.001468753455
Colombia,2014,0.9956331177,6.047875012,2.268893394,15.19216901,4.50,3.2,1.30,5.6,33,25,15.1,28.9,50,70.7,85.2,80.5,78.8,78.8,75,70,678.1445069,0.00003212031599
Colombia,2015,0.9966766681,-0.4928943904,2.046828103,16.96259148,5.75,2,3.75,4.4,33,25,16.1,28.3,50,71.7,81.5,81.7,80.1,81.2,80,70,1803.1231,0.00004442500619
Colombia,2016,0.9954627469,0.009488940684,8.380169124,-7.554896301,7.50,2.9,4.60,4.5,33,25,16.5,29.2,50,70.8,78.2,77.6,79.6,81,80,70,3349.6086,0.00009934332115
Colombia,2017,0.9946308217,0.9382979906,8.008123819,-6.148323302,4.75,5,-0.25,4.2,33,25,16.7,29.6,63.8,69.7,77.1,77.9,77,81.6,80,70,9729.872815,0.0001866532249
Colombia,2018,0.994316929,11.76046742,-16.77596875,12.87434447,4.25,7.5,-3.25,4.2,33,25,16.1,29.2,60.7,68.9,78.6,75.2,73.9,81.6,80,70,13424.08854,0.0003072163984
Colombia,2019,0.9873584514,-0.8702598522,3.004127373,5.58039109,4.25,4.3,-0.05,7,33,33,19.9,28.9,59.2,67.3,71.4,78.5,75.6,76,80,70,361.7345765,0.00001664676626
Colombia,2020,0.9816315169,0.2752746838,-0.8334262928,-2.895385394,1.75,3.2,-1.45,4.4,39,33,18.8,27.7,61.1,69.2,71.3,78,77.5,81.2,80,70,397.9080342,0.00001888553791
Colombia,2021,0.9758049297,2.103166365,19.1697233,19.76090014,3.00,3.5,-0.50,6.5,39,32,22,32,59.8,68.1,71,77.7,78.1,77,80,70,437.6988376,0.00002499852372
Colombia,2022,0.9744072088,0.5356195064,-8.456869634,0.5284791544,12.00,2.5,9.50,6.8,39,31,19.7,33.7,50.9,65.1,68.8,60.7,79.3,76.4,80,70,481.4687214,0.00003214891164
Czech Republic,2014,0.6684617231,1.15293649,-99.9748453,14.65990624,0.05,3.3,-3.25,1.1,15,19,35.3,43.3,70,72.2,70.1,84,79.4,87.8,80,80,693.3897221,0.00003284240564
Czech Republic,2015,0.6136062069,-0.668865692,-0.7142787892,8.546115892,0.05,1.4,-1.35,1,15,19,35.5,44.5,75,72.5,68.2,82.9,81.2,88,80,80,1369.3311,0.00003373732087
Czech Republic,2016,0.4434458768,-0.04315059624,-1.77142017,3.419983602,0.05,0.4,-0.35,1,15,19,34.1,41.9,75,73.2,66.6,77.7,84.1,88,80,80,1876.9536,0.00005566704249
Czech Republic,2017,0.3991093931,1.124454112,15.57576176,-16.27499613,0.50,0.3,0.20,1.5,15,19,33.5,42.9,70.3,73.3,67.2,77.7,85.8,87,80,80,698.8219442,0.00001340586583
Czech Republic,2018,0.2979202137,10.55981245,-8.959537182,5.105175651,1.75,0.7,1.05,1.6,15,19,33.5,41.4,73,74.2,72.5,76.8,85.2,86.9,80,80,141.2597651,0.000003232794251
Czech Republic,2019,-0.7057871751,-0.8812172955,12.76165746,0.808491129,2.00,2.4,-0.40,2,15,19,34,40,74.8,73.7,72.4,78.1,81.5,86,80,80,2.58958875,0.0000001191710205
Czech Republic,2020,-1.627028543,0.203197178,-8.610121503,-5.928179083,0.25,2.2,-1.95,1.8,15,19,34.9,39.7,76.8,74.8,69.7,77.6,80.8,86.4,80,80,2.848547625,0.0000001351979592
Czech Republic,2021,-3.024877634,1.667907489,29.20905194,2.376641119,3.75,2.9,0.85,3,22,19,35.3,40.2,76.2,73.8,68.8,77.1,79.7,84,70,80,3.133402388,0.0000001789596572
Czech Republic,2022,-3.686453227,0.3950275319,6.100262679,3.844533827,7.00,3.2,3.80,2.9,23,19,34.9,42.9,88.8,74.4,80.6,56.5,79,79.2,70,80,3.446742626,0.0000002301479187
Indonesia,2014,0.9992845412,4.068280738,20.79099875,2.154959697,7.75,4.3,3.45,2.6,30,25,11.8,18.5,30,58.5,54.8,47.8,76.4,74.8,40,60,14479.51777,0.0006858223896
Indonesia,2015,0.9993215555,-0.5930220131,-12.39347423,11.47342995,7.50,6.4,1.10,2.6,30,25,11.9,19.7,30,58.1,49.3,48.7,74.9,74.8,40,60,193194.6448,0.00475989315
Indonesia,2016,0.9990593887,-0.005911648687,17.03061857,-2.737450343,4.75,6.4,-1.65,2.3,30,25,11.8,19.1,30,59.4,54,49.3,74.3,80.4,40,60,228518.9955,0.0067774593
Indonesia,2017,0.998797595,0.7942989447,20.46414922,0.6832021387,4.25,6.4,-2.15,2.3,30,25,10.9,17.4,48.3,61.9,49.1,48.9,74,80.5,35,60,254952.7249,0.004890891095
Indonesia,2018,0.9987183283,11.67114345,-2.28323579,7.338840537,6.00,3.5,2.50,2.3,30,25,10.4,17.6,49.3,64.2,57.3,50.3,81.6,80.5,40,60,144213.7466,0.003300397467
Indonesia,2019,0.9973861328,-0.8584907377,1.914915231,-4.356490071,5.00,3.8,1.20,2.6,30,25,10.4,16.9,52.2,65.8,69.3,49.3,77.4,79.8,45,60,113485.8824,0.005222539068
Indonesia,2020,0.9957370168,0.1361787354,-4.846087125,-0.6210247122,3.75,3.2,0.55,2.1,30,25,11.5,16.7,59.8,67.2,70,49.2,78.4,80.8,50,60,104556.2561,0.004962456065
Indonesia,2021,0.9939164145,1.864261448,7.806583965,3.272283938,3.50,2.8,0.70,5.4,30,25,10.2,16.5,59.4,66.9,71.3,49.2,79,79.2,50,60,57066.41059,0.003259263896
Indonesia,2022,0.9928327216,0.3787315965,2.780232095,9.343934887,5.50,2,3.50,5.7,30,22,9.5,17.1,38.6,64.4,66.6,59.3,80.3,78.6,50,60,19238.06694,0.001284575481
Israel,2014,-1.083858486,9.779220779,5.74014693,12.51690608,0.25,1.7,-1.45,3.5,48,25,32.6,44.6,75,68.4,73.2,63,80.6,82.9,80,70,6662.422793,0.0003155656695
Israel,2015,-1.300092328,-0.650357998,2.770025132,0.1163987176,0.10,1.5,-1.40,0.7,48,26.5,28.3,41.7,75,70.5,72.4,67.1,81.6,88.6,80,70,5046.585619,0.0001243368228
Israel,2016,-2.372860438,-0.06013007731,-2.209120971,-1.579116376,0.10,0.5,-0.40,0.9,48,26.5,30.5,41.3,75,70.7,70.6,64.6,84.2,88.2,85,70,5119.448333,0.0001518335604
Israel,2017,-3.154237285,0.8622691014,6.654844349,-10.05538207,0.10,-0.6,0.70,1,48,25,31.1,40.3,71.9,69.7,69.9,64.3,84.9,88,75,70,6321.081262,0.0001212605987
Israel,2018,-3.665091935,11.02743268,-3.7901349,9.081442157,0.25,-0.5,0.75,2.2,48,25,31.4,40.1,78.2,72.2,71.8,65.1,85.3,85.5,75,70,6953.189388,0.0001591269153
Israel,2019,-9.576341443,-0.8727035394,19.85320794,-8.052696819,0.25,0.2,0.05,2.8,48,23,32.7,39.8,80,72.8,71.4,65.1,86.2,84.4,75,70,7648.508326,0.000351978878
Israel,2020,-16.25621493,0.1357079682,-3.425488323,-7.120766909,0.10,0.8,-0.70,1.9,48,23,32.7,39.4,82.3,74,72.2,64.4,84.9,86.2,75,70,8413.359159,0.0003993154189
Israel,2021,-25.49089276,1.66261027,30.37918933,-3.393449764,0.10,0.8,-0.70,2.9,50,23,31.1,39.2,83.6,73.8,73.9,65.1,84.4,84.2,75,70,9254.695075,0.0005285682632
Israel,2022,-30.08281315,0.3843651609,-12.52912808,13.36539939,3.25,-0.6,3.85,3.1,50,23,30.5,41.5,83.2,68,81.1,56.5,84.8,78.8,80,70,10180.16458,0.0006797559159
Japan,2014,0.9374842454,53.78553188,9.69200635,13.445391,0.00,0,0.00,1.3,40.8,25.5,27.6,42,80,72.4,80,79.8,87.5,82.4,70,50,300829.3542,0.01424878299
Japan,2015,0.9303653558,-0.6535306977,9.334407389,0.830414676,0.00,0.4,0.40,1.2,40.8,25.5,28.6,42,80,73.3,84.1,90.2,86.7,82.6,70,50,428622.9373,0.01056033093
Japan,2016,0.8915390526,-0.1151435499,3.59541149,-3.472809268,0.00,2.7,2.70,1.2,40.8,23.9,30.3,42.3,80,73.1,82.5,83.9,81.2,82.6,70,60,5704660.872,0.1691899039
Japan,2017,0.866093263,0.8578315405,16.18226692,-2.917421401,-0.10,0.8,-0.90,1.2,40.8,23.9,30.3,39.3,89.4,69.6,82.3,77.5,83,82.6,70,60,6658474.565,0.1277329904
Japan,2018,0.8626673289,12.16953384,-14.85370339,-2.254704912,-0.10,-0.1,0.00,1.4,40.8,23.9,32,39.1,86,72.3,81.7,79.2,85.4,82.3,70,60,4688374.905,0.1072956013
Japan,2019,0.6510927026,-0.8864059984,20.93173694,-1.320584345,-0.10,0.5,-0.60,2.5,40.8,23.9,30.7,38.7,84.1,72.1,80.5,79,85.9,80,70,60,1991582.618,0.0916512064
Japan,2020,0.4475516313,0.1702943503,18.26906373,-5.283218836,-0.10,1,-1.10,2.5,40.8,23.9,30.6,38.4,86.6,73.3,81.4,78.7,84.4,80,70,60,1565728.418,0.0743127076
Japan,2021,0.1690982394,1.717694731,5.625169323,11.58057145,-0.10,0.5,-0.60,2.3,40.8,23.9,31.4,37.5,87.8,74.1,85.9,79,85.1,80.4,60,60,2608.586665,0.000148985581
Japan,2022,0.1079752294,0.5130286416,-10.94571071,15.5158446,-0.10,0,-0.10,2.3,40.8,23.9,32,39.8,94.6,69.9,78.3,66.6,87.1,75.4,60,60,829.8743006,0.00005541285318
Malaysia,2014,-1.123200136,4.165734872,-4.948862818,6.725278657,3.25,1.7,1.55,4.3,26,25,15.3,28.5,55,69.6,85.6,78.5,81,76.4,55,60,1576.09029,0.00007465151989
Malaysia,2015,-1.284338271,-0.6413001771,-3.437987248,22.8260894,3.25,2.1,1.15,5,26,25,16.1,29.5,55,70.8,93.5,75.7,80.8,80,55,60,6812.5864,0.0001678472163
Malaysia,2016,-2.086277525,0.02010832852,-0.7040175328,4.413131078,3.00,3.1,-0.10,4.3,25,25,15.8,29.3,55,71.5,91.4,71.5,84.5,81.4,60,60,12043.8248,0.0003571980186
Malaysia,2017,-4.489017994,0.2896613579,9.861025258,-9.470282681,3.00,2.1,0.90,4.4,28,24,14.8,25.2,85.3,73.8,90.8,73.1,85.3,81.2,60,50,9246.933565,0.0001773887494
Malaysia,2018,-2.701080015,19.03124867,-5.167442511,2.269091285,3.25,2.1,1.15,1.3,25,25,13.8,24.9,83.8,74.5,83.9,75.8,85.6,87.4,60,50,4985.916187,0.0001141049695
Malaysia,2019,-22.61674178,-0.9547727608,-4.75687912,-1.059989124,3.00,3.8,-0.80,4,25,25,13.8,23.7,84.1,74,83.9,74.4,78.6,82,60,50,92.10701652,0.000004238698965
Malaysia,2020,-13.37551186,2.044201637,1.541963241,-1.75310516,1.75,1,0.75,4,25,25,13.6,22.6,86.5,74.7,87.8,74.5,81.6,82,60,50,101.3177182,0.000004808748362
Malaysia,2021,-20.03510716,1.793426472,-2.186482847,3.382908643,1.75,0.7,1.05,3.8,30,24,12,22.8,85.1,74.4,86.7,73.9,83.6,82.4,60,50,111.44949,0.000006365273289
Malaysia,2022,-23.38825229,0.401000965,-3.457606721,5.957086373,2.75,-1.1,3.85,3.9,30,24,12,23.9,65.6,68.1,67.1,57,83.6,82.2,60,50,122.594439,0.00000818594773
Mexico,2014,0.4601391916,11.53815216,2.268893394,13.08951405,3.00,4.1,-1.10,2.2,30,30,10.6,26.6,50,66.8,76.8,58.3,77.4,85.6,70,60,5556.937793,0.0002632043702
Mexico,2015,0.472248235,-0.605222174,2.046828103,17.22490513,3.25,3.8,-0.55,2.2,35,30,10,27.1,50,66.4,71.5,59.9,77.6,85.6,70,60,18693.92939,0.0004605774996
Mexico,2016,0.3115315036,0.05649264005,8.380169124,19.96715825,5.75,4,1.75,5.4,35,30,19.7,28.1,50,65.2,70.7,58.2,77.4,79.2,70,60,36446.94824,0.001080950438
