Country,Year,Bitcoin_Premium,Bitcoin_Return,Stock_Market_Return,Currency_Return,Interest_Rate,Inflation,Real_Interest_Rate,Tariff_Rate,Income_Tax_Rate,Corporate_Tax_Rate,Tax_Burden_%_of_GDP,Govt_Expenditure_%_of_GDP,Property_Rights,Economic_Freedom,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom,Financial_Freedom,Trading_Volume,Percent_Global_Volume
Mexico,2017,0.2739196163,1.174877167,8.008123819,-5.129108046,7.25,2.7,4.55,5,35,30,19.7,27.6,58.1,63.6,70.7,57.9,78.8,80,70,60,141197.0225,0.002708656126
Mexico,2018,0.1823275406,10.99353414,-16.77596875,-0.05097483427,8.25,2.8,5.45,1,35,30,17.4,27,58.6,64.8,67.5,59.8,79.2,88,75,60,74071.49058,0.001695159898
Mexico,2019,-0.9699423399,-0.8802108619,3.004127373,-3.704031289,7.25,6,1.25,4.3,35,30,17.2,26.9,59.1,64.7,67.8,58.6,75.9,81.4,75,60,67145.17673,0.003089972967
Mexico,2020,-2.160478925,0.154987721,-0.8334262928,5.144387816,4.25,4.9,-0.65,1.2,35,30,16.2,26.3,58.3,66,67,58.4,70.9,87.6,75,60,88489.35782,0.004199887859
Mexico,2021,-3.272089549,2.023926334,19.1697233,2.856588062,5.50,3.6,1.90,4.2,35,30,16.1,25.9,53.4,65.5,65.6,58.2,72.1,81.6,75,60,57889.01756,0.003306245881
Mexico,2022,-3.965830387,0.3974067938,-8.456869634,-4.895137362,10.50,3.4,7.10,4.2,35,30,16.5,26.9,47.7,63.7,69.2,58.4,73,76.6,75,60,318664.9752,0.02127808449
New Zealand,2014,-4.479427438,44.61014861,16.75892296,5.002053185,3.50,1.1,2.40,1.6,33,28,31.7,47.5,95,81.2,96.1,90.2,86.3,86.8,80,80,209482.015,0.009922116077
New Zealand,2015,-5.170032376,-0.6572729507,12.88079919,14.47935717,2.50,1.1,1.40,1.6,33,28,32.9,43.6,95,82.1,95.5,91.4,87.6,86.8,80,80,257434.7416,0.006342628515
New Zealand,2016,-7.250324742,0.03071181278,9.606729867,-1.834236996,1.75,1.2,0.55,1.4,33,28,32.1,42.4,95,81.6,91.4,85.9,88.1,87.2,80,80,5825.4141,0.0001727712258
New Zealand,2017,-9.370556581,0.8247540801,20.41449273,-1.710935539,1.75,0.3,1.45,1.3,33,28,32.4,41.9,96.1,83.7,91.8,86.2,90.1,87.4,80,80,7815.568893,0.0001499301344
New Zealand,2018,-12.11505334,9.680063779,4.585916856,5.749918569,1.75,0.6,1.15,1.3,33,28,32.8,41,95.1,84.2,91.5,84.4,90,87.4,80,80,2800.154101,0.00006408280572
New Zealand,2019,-26.0065471,-0.859850167,31.60116024,-0.4017941924,1.00,1.9,-0.90,1.3,33,28,32.1,40.7,95,84.4,91,86.7,87.5,92.4,80,80,29.58943304,0.000001361684527
New Zealand,2020,-78.5944999,-0.3712720688,12.92574786,-6.661029603,0.25,1.6,-1.35,1.4,33,28,32,37.5,93.3,84.1,90.4,86.7,87,92.2,80,80,32.54837634,0.00000154481323
New Zealand,2021,-59.17412847,4.406695429,-2.497677973,5.636306679,0.75,1.6,-0.85,2.4,33,28,32.7,37.4,91.3,83.9,89.9,86.3,86.9,90.2,80,80,35.80321398,0.000002044847775
New Zealand,2022,-69.80721757,0.380405448,-12.75354525,7.635032177,4.25,1.7,2.55,2.5,33,28,32.3,39.4,88.2,80.6,81.3,70.5,81.8,90,70,80,39.38353538,0.000002629740506
Russia,2014,0.7972821427,46.61282377,-0.9988041071,73.05526976,17.00,5.1,11.90,5.2,13,20,29.5,35.8,25,51.9,70,55.8,69.4,74.6,25,30,10174.63999,0.0004819218445
Russia,2015,0.8502302813,-0.4776415338,10.67781341,29.47312868,11.00,6.8,4.20,5,13,20,28.7,37.5,20,52.1,76.3,58.9,63.9,75,25,30,187974.6048,0.00463128279
Russia,2016,0.8132678575,0.1054161052,28.71966927,-17.60030288,10.00,7.8,2.20,6.3,13,20,34.8,38.2,20,50.6,72.2,57.6,62.9,72.4,25,30,344330.3363,0.0102122138
Russia,2017,0.7301679117,0.587306706,-5.992305836,-4.594531205,7.75,15.5,-7.75,4.9,13,20,35.3,36.4,47.6,57.1,74.8,50.8,57.3,75.2,30,30,277250.152,0.005318634268
Russia,2018,0.7029671694,11.26961634,8.101593183,20.76173212,7.75,7,0.75,2.8,13,20,29.2,35.3,48.7,58.2,77,52,60.8,79.4,30,30,275745.7482,0.006310567409
Russia,2019,0.4727653556,-0.8374106485,10.37669251,-10.86014339,6.25,3.7,2.55,3.6,13,20,22.2,35.4,52.4,58.9,78.4,52.5,65.1,77.8,30,30,104271.1547,0.004798483898
Russia,2020,0.03581124693,0.01325470672,10.30141228,20.25283293,4.25,2.9,1.35,3.6,13,20,24.2,34.7,56.8,61,80.2,52.1,68.2,77.8,30,30,37082.60999,0.001760017332
Russia,2021,-0.1765657255,2.349689288,5.696848034,0.01274602907,8.50,4.5,4.00,5.5,13,20,11.4,33.6,54.4,61.5,84.1,55.4,67.3,74,30,30,3777.451206,0.0002157435558
Russia,2022,-0.3726262779,0.3923174572,8.619136501,-0.7600885782,7.50,3.4,4.10,5.5,13,20,11,35.3,36.8,56.1,62.5,57.3,68,69,30,30,1843.370343,0.0001230866049
Singapore,2014,-4.717494233,41.70066709,6.000661675,4.67634222,0.68,4.6,-3.92,0,20,17,13.8,17.1,90,89.4,96.8,96.5,81.5,90,85,80,230082.0637,0.01089783743
Singapore,2015,-5.230692402,-0.6458640074,-14.47402665,7.052694722,1.23,2.4,-1.17,0,20,17,14,14.4,90,89.4,96.9,96.9,83.7,90,85,80,424029.0872,0.01044714852
Singapore,2016,-8.248405451,-0.07148204944,1.579355195,2.238196424,0.96,1,-0.04,0,20,17,13.8,18.2,90,87.8,95,90.7,81.8,90,85,80,207503.2453,0.006154170233
Singapore,2017,-10.04292742,0.9209586165,17.38375893,-7.494863999,1.52,-0.5,2.02,0,22,17,13.4,20.3,97.1,88.6,95.1,90.8,84.3,90,85,80,21029.77235,0.0004034250914
Singapore,2018,-12.12765395,10.36158547,-10.53960394,2.119150476,1.86,-0.5,2.36,0,22,17,13.6,17.7,98.4,88.8,90.9,92.6,85.2,90,85,80,3148.047362,0.0000720445019
Singapore,2019,-27.12997313,-0.8653180526,6.052874308,-1.315372811,2.51,0.6,1.91,0.1,22,17,13.7,17.6,97.4,89.4,90.8,91,85.3,94.8,85,80,186.8112955,0.000008596922089
Singapore,2020,-45.63831789,0.117643226,-12.55196622,-1.872158215,1.06,0.4,0.66,0.1,22,17,14.1,17.2,96.8,89.4,92.8,90.9,85.6,94.8,85,80,0.02753071,0.000000001306664412
Singapore,2021,-64.18845897,1.924359897,9.261605455,2.189819894,0.76,0.6,0.16,0,22,17,13.1,14,97.5,89.7,93.8,91.5,85.4,95,85,80,0.030283781,0.000000001729613498
Singapore,2022,-75.43411774,0.385344683,3.735186037,-0.6205997314,0.00,-0.2,-0.2,0,22,17,13.2,18.2,94.4,84.4,83.1,77,86.5,95,85,80,0.0333121591,0.000000002224339011
South Africa,2014,0.3597784168,9.935483594,6.827479887,11.66859644,5.75,5.7,0.05,4.5,40,28,27.3,32.1,50,62.5,74.5,54.4,75.3,76.1,55,60,3263.300733,0.000154566246
South Africa,2015,0.3329732249,-0.6295857477,2.373419456,34.41082019,6.25,5.8,0.45,4.2,40,28,25.8,32.6,50,62.6,73,61.6,74.9,76.6,50,60,38616.9534,0.0009514372002
South Africa,2016,0.2285356656,0.1916487672,2.710911607,-12.62005186,7.00,6.1,0.90,4,40,28,24.7,31.7,50,61.9,69.7,58.7,74.6,77,45,60,48187.2545,0.001429146647
South Africa,2017,-0.07562574828,0.6450913873,16.62858084,-8.684054762,6.75,4.6,2.15,3.9,41,28,22.6,33.7,67.6,62.3,62,58.9,75.8,77.3,40,50,11164.09873,0.0002141667287
South Africa,2018,-0.3009928856,10.16678387,-11.70963491,16.29462431,6.75,6.3,0.45,4.2,45,28,30.6,32.6,67.7,63,65.1,60.1,74.6,71.6,50,50,6012.033575,0.0001375881347
South Africa,2019,-1.55020324,-0.8527715591,11.3530671,-2.197043863,6.50,5.3,1.20,4.5,45,28,31.3,32.8,58.8,58.3,64.3,59.1,75.2,76,45,50,202.2603507,0.000009307876552
South Africa,2020,-2.903697094,0.2105296549,2.929206985,3.849394218,3.50,4.6,-1.10,4.6,45,28,28.6,33,58.4,58.8,62,58.8,75.9,75.8,45,50,222.4863858,0.00001055966382
South Africa,2021,-4.60972461,1.844416739,21.87515743,8.522466285,3.75,4.1,-0.35,6.2,45,28,28.4,33.7,59.6,59.7,61.5,59.4,76.8,72.6,45,50,244.7350244,0.00001397768006
South Africa,2022,-5.353168478,0.4342522957,-0.914280337,6.491876894,7.00,3.3,3.70,6.4,45,28,29.1,32.6,43.2,56.2,65.7,71.1,78,72.2,45,50,269.2085268,0.00001797574953
South Korea,2014,0.9929143249,5.025776568,-2.623029658,3.839590266,2.00,2.2,-0.20,8.7,38.5,24.2,25.9,30.2,70,71.2,92.8,47.8,79.6,72.6,70,80,451088.0388,0.0213657859
South Korea,2015,0.9928349197,-0.6183539093,1.81008068,7.316706748,1.50,1.3,0.20,8.7,38,24.2,26.8,32.7,75,71.5,89.7,51.1,81.6,72.6,70,80,1582640.915,0.03899280778
South Korea,2016,0.9888178735,-0.116884487,5.612997489,2.539483014,1.25,1.3,-0.05,7.7,38,24.2,24.3,31.8,70,71.7,91.1,50.6,82.6,74.6,70,80,1770194.757,0.05250076866
South Korea,2017,0.987393021,1.034458053,21.78159418,-11.26700167,1.50,0.7,0.80,5.2,35,22,24.6,32.9,77.8,74.3,90.6,57,84,79.5,65,70,9574824.905,0.18367886
South Korea,2018,0.9866046981,11.71160427,-17.68837862,4.376858037,1.75,1,0.75,4.8,38,24.2,25.3,32.3,79.4,73.8,90.7,58.7,83.9,80.4,70,70,6555759.548,0.1500315519
South Korea,2019,0.965855284,-0.8867806684,9.336812034,3.587738512,1.25,1.9,-0.65,4.8,46.2,27.5,26.3,32.4,79.3,72.3,91.3,57.4,82,80.4,70,70,1535559.264,0.07066533809
South Korea,2020,0.9480032685,0.2168140356,32.10324131,-6.047471191,0.50,1.5,-1.00,5,42,25,26.9,32.8,82.5,74,90.5,56.2,82.1,80,70,70,1689115.19,0.08016889889
South Korea,2021,0.9225269353,1.743367348,1.127543403,9.523937935,1.00,0.4,0.60,8,42,25,28.4,20.9,80.7,74,89.5,55.8,84.4,79,60,60,1858026.709,0.1061184558
South Korea,2022,0.9154769719,0.4888470093,-25.18499988,5.913991567,3.25,0.5,2.75,8.5,49.5,27.5,27.4,22.7,90.5,74.6,84.8,55.6,85.2,73,60,60,2043829.38,0.1364717732
Switzerland,2014,-6.562353794,42.0798824,8.619957773,10.73720895,0.25,-0.7,0.95,0,41.5,24,28.5,33.8,90,81.6,75.4,87.4,85.2,90,85,80,209435.7395,0.009919924241
Switzerland,2015,-7.217651535,-0.6448515572,-1.350954216,-0.05462784359,-0.25,-0.2,-0.05,0,40,24,28.2,34.1,90,80.5,78.1,75.3,86.3,90,85,80,52678.20258,0.0012978756
Switzerland,2016,-9.49470401,0.07919116356,-5.041865123,2.945344289,-0.25,0,-0.25,0,40,24,27.1,33.5,90,81,82.2,72.1,87.8,90,85,80,2716.1802,0.00008055698266
Switzerland,2017,-13.50354335,0.6597070642,12.81466334,-3.77543951,-0.25,-1.1,0.85,0,11.5,8.5,27.1,33,86.9,81.5,76.8,72.2,84.4,90,85,90,1073.186097,0.00002058748863
Switzerland,2018,-17.24807609,9.734921586,-11.07320376,0.5006680629,-0.25,-0.4,0.15,0,40,24,27.9,34,84.2,81.7,75.7,73.9,85.2,90,85,90,369.978227,0.000008467120731
Switzerland,2019,-33.22196063,-0.8461123455,25.4066641,-1.521960578,-0.75,0.5,-1.25,1.3,40,24,27.8,34.3,85.3,81.9,75.4,72.5,85.2,87.4,85,90,11.96635926,0.000000550683287
Switzerland,2020,-60.6205361,0.02909665424,0.03448144938,-8.986921659,-0.75,0.9,-1.65,1.7,11.5,8.5,28.5,34,87.4,82,74.2,72.4,84.4,86.6,85,90,13.16299519,0.0000006247429638
Switzerland,2021,-94.64606319,1.633401201,20.39977543,3.643457153,-0.75,0.4,-1.15,2,11.5,8.5,27.9,32.8,85.4,81.9,73.6,72.5,85.4,86,85,90,14.4792947,0.0000008269635674
Switzerland,2022,-111.3571566,0.3827406915,-17.07813982,1.001425893,1.00,-0.7,1.70,1.7,40,24,28.5,33.1,95.2,84.2,84.3,60,84.9,86.6,85,90,15.92722418,0.000001063501947
Thailand,2014,0.7814815808,48.55530503,21.68561309,0.4924278929,2.00,3,-1.00,5,37,20,16.2,23.4,45,63.3,71.4,61.6,68.6,75,45,70,9222.861652,0.0004368408614
Thailand,2015,0.7509056289,-0.6614484697,-13.16231117,9.556852587,1.50,2.2,-0.70,4.8,35,20,15,24.9,40,62.4,72.5,63.5,69.9,75.4,45,60,15408.8099,0.0003796393464
Thailand,2016,0.6787147277,0.06854778755,22.1250346,-0.3278143011,1.50,1.9,-0.40,6.2,35,20,16.2,24.3,40,63.9,76.3,62.5,70.9,77.6,50,60,13926.0603,0.0004130217127
Thailand,2017,0.5389776211,0.598468845,12.15991572,-8.952556256,1.50,-0.9,2.40,3.6,35,20,16.5,22.3,51.3,66.2,69.9,62.8,72.9,82.8,50,60,9109.470802,0.0001747517295
Thailand,2018,0.4998612109,11.45011352,-12.068957,-0.4347091904,1.75,0.2,1.55,3.5,35,20,15.7,22,48.6,67.1,77.2,62.6,75.5,83.1,55,60,4483.270662,0.0001026016971
Thailand,2019,-0.2068451074,-0.8804001627,0.8876473514,-7.852659832,1.25,0.7,0.55,3.5,35,20,15.6,21.8,53.7,68.3,82.5,63.9,75.2,83,55,60,118.1880837,0.000005438931007
Thailand,2020,-0.7201713708,0.300039566,-9.178351921,-0.1701657955,0.50,1.1,-0.60,3.5,35,20,17.6,21.7,59.5,69.4,83,63.7,74,83,55,60,130.0068921,0.000006170395865
Thailand,2021,-1.806492963,1.505338508,12.89843664,11.38407054,0.50,0.7,-0.20,5,35,20,14.9,21.6,60,69.7,85.3,64.3,74.4,80,55,60,143.0075813,0.00000816766714
Thailand,2022,-2.018193042,0.5103977451,-0.09698943224,3.765944604,1.25,-0.8,2.05,6.7,35,20,15.8,22.8,44.2,63.2,63.4,59.6,74.2,71.6,55,60,157.3083394,0.00001050388463
Turkey,2014,-2.165543228,4.712181181,2.929206985,8.152169147,7.50,8.9,-1.40,2.7,35,20,25,34.9,50,64.9,67.6,59.7,71.8,84.5,70,60,15.7978168,0.0000007482636258
Turkey,2015,-2.473102888,-0.6482523179,21.87515743,25.71800765,7.25,7.5,-0.25,2.7,35,20,27.7,37.6,45,63.2,61,50.2,72.4,84.6,75,60,280.4223,0.000006908991635
Turkey,2016,-3.9868039,-0.04012161457,-0.914280337,20.46204424,7.25,8.9,-1.65,2.8,35,20,29.3,38.5,40,62.1,65.4,48.6,71.5,84.4,75,60,1540.2948,0.00004568235255
Turkey,2017,-3.073124377,1.808212603,-2.623029658,7.370364305,7.25,7.7,-0.45,2.8,35,20,28.7,37,61.3,65.2,64.3,48.5,72.2,79.4,75,60,2809.825765,0.00005390235315
Turkey,2018,-3.144208551,12.27479771,1.81008068,39.64722211,22.50,7.8,14.70,3.2,35,20,30,32.6,54.7,65.4,63.3,47.6,72.3,78.6,75,60,795.613108,0.00001820796941
Turkey,2019,-6.274154061,-0.835581496,5.612997489,12.7588935,10.50,11.1,-0.60,2.7,35,22,25.5,34.1,55.8,64.6,66,49.2,70,79.6,70,60,17.8273949,0.0000008204039515
Turkey,2020,-8.389937509,0.4354780104,21.78159418,23.98617119,15.50,16.3,-0.80,3.5,35,22,24.9,34.6,57.4,64.4,67,49.2,66.1,78,70,60,19.61013439,0.0000009307375188
Turkey,2021,-10.4298065,2.358013826,-17.68837862,80.24119893,12.50,15.2,-2.70,4.5,40,22,24.4,34.4,61.5,64,68.5,48.8,65.4,76,70,60,21.57114783,0.000001232004302
Turkey,2022,-6.714697521,1.406547065,9.336812034,40.7245026,7.50,12.3,-4.80,4.7,40,20,23.1,34.7,42,56.9,63.4,47.1,61.9,75.6,70,60,23.72826261,0.000001584397458
United Kingdom,2014,-9.866746708,43.44156885,-2.259631833,-6.006542705,0.50,2.8,-2.30,1.1,50,24,35.5,48.5,90,74.9,92,73.1,73.5,87.8,90,80,368694.7996,0.01746322995
United Kingdom,2015,-11.0195833,-0.6510921204,-4.665689378,-4.816234955,0.50,2.6,-2.10,1,45,21,35.2,48.2,90,75.8,91.1,75.6,74.4,88,90,80,767886.7293,0.01891904812
United Kingdom,2016,-18.26758998,-0.1402288472,17.22191091,-17.08036464,0.25,1.5,-1.25,1,45,20,32.9,45.1,90,76.4,86,71.8,76.4,88,90,80,842407.387,0.02498427655
United Kingdom,2017,-18.72272727,1.240762315,7.103747744,9.381712054,0.00,0.1,0.10,1.5,45,20,32.6,43.2,93.8,76.4,89.9,72.8,85,87,90,80,841134.491,0.01613592164
United Kingdom,2018,-23.93102931,9.684854245,-12.02913126,-5.559782209,0.00,0.6,0.60,1.6,45,20,32.5,43,92.2,78,91.1,74.4,85.2,86.9,90,80,669431.3157,0.01532024146
United Kingdom,2019,-47.23221253,-0.8508254936,12.00142086,3.304481983,0.00,2.7,2.70,2,45,20,33.2,41.6,92.3,78.9,92.9,73.5,81.2,86,90,80,1646367.613,0.075764659
United Kingdom,2020,-78.46050292,0.1247671565,-15.0414875,3.947441866,0.00,2.5,2.50,1.8,45,20,33.3,41,92.2,79.3,94.7,73.1,80.3,86.4,80,80,1692405.121,0.08032504583
United Kingdom,2021,-115.3377464,1.791832243,12.36476681,-0.9705332996,0.00,1.8,1.80,3,45,19,33.5,38.8,87.6,78.4,94.4,73.2,81,84,80,80,592266.926,0.03382645218
United Kingdom,2022,-137.7454874,0.361997042,-0.7128390797,-10.68311094,0.00,0.9,0.9,2.9,45,19,32.7,42.3,96.2,72.7,79.1,62.1,83,84.2,80,80,218728.7763,0.01460508604
United States,2014,0,60.34887218,12.38659397,0.00,0.13,2.1,-1.98,1.6,39.6,35,25.1,41.6,80,75.5,89.2,97.2,75.4,86.8,70,70,18663985.92,0.8840197323
United States,2015,0,-0.6140770155,-0.6928388934,0.00,0.38,1.5,-1.13,1.5,39.6,35,24.3,40.1,80,76.2,88.8,98.5,76.6,87,70,70,35662617.15,0.878648822
United States,2016,0,0.3782273175,11.23736946,0.00,0.63,1.6,-0.98,1.5,39.6,35,25.4,38.9,80,75.4,84.7,91.4,77,87,70,70,24135781.85,0.7158235524
United States,2017,0,1.293693403,18.41502748,0.00,1.38,0.1,1.28,1.4,39.6,35,26,37.8,81.3,75.1,84.4,91,80.1,87.1,80,70,33746539.23,0.647377463
United States,2018,0,12.5064695,-7.009394461,0.00,2.38,1.3,1.08,1.6,39.6,35,26.4,38.1,79.3,75.7,82.7,91.4,78.6,86.7,85,80,30882983.92,0.7067711943
United States,2019,0,-0.7114031512,28.7147959,0.00,1.63,2.1,-0.48,1.7,37,21,26,37.8,79.3,76.8,83.8,89.4,76.6,86.6,85,80,16131463.14,0.742358386
United States,2020,0,0.8530056828,15.29290654,0.00,0.13,2.4,-2.28,2.6,37,21,27.1,38.1,81.8,76.6,83.3,87.9,75.5,79.8,85,80,15763399.57,0.7481635317
United States,2021,0,3.08750838,28.79305802,0.00,0.13,1.8,-1.68,2.3,37,21,24.3,35.5,79.7,74.8,82.5,87.1,81.1,80.4,85,80,14802902.62,0.8454459563
United States,2022,0,0.6243304454,-19.95305066,0.00,4.38,1.2,3.18,2.4,37,21,24.5,38.9,95.7,72.1,87.5,75.8,82.3,75.2,85,80,12279444.86,0.8199302887