,Country,Year,bitcoin_return,bitcoin_premium,Interest_Rate,Inflation,Real_Interest_Rate,Tariff_Rate,Income_Tax_Rate,Corporate_Tax_Rate,Tax_Burden_Percent_of_GDP,Gov_Expenditure_Percent_of_GDP,Property_Rights,Economic_Freedom,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom,Financial_Freedom,Stock_Market_Returns,Currency_Returns,Trading_Volume,Global_Volume,Percent_Global_Volume
0,Australia,2014,-4.976274466182833,8.647871184333333,2.50,1.8,0.7,1.8,45.0,30.0,25.6,35.3,90.0,82.0,94.6,79.2,80.5,86.4,85,90,0.8029229017,8.932863822,39399.7603,287702640,0.0136946120132926
1,Australia,2015,0.7844305840299999,0.9375538600916666,2.00,2.5,-0.5,1.8,45.0,30.0,26.5,35.7,90.0,81.4,94.1,81.6,85.3,86.4,80,90,-2.57547053,12.34143477,143659.34,383432300,0.0374666766466987
2,Australia,2016,6.841487913583333,-2.546780992675,1.50,2.5,-1.0,1.8,45.0,30.0,27.5,35.6,90.0,80.3,89.4,77.2,85.2,86.4,80,90,7.500233463,0.6920686872,140955.94,1028608400,0.0137035571554733
3,Australia,2017,27.96194827975,-13.174843486289168,1.50,1.5,0.0,1.9,45.0,30.0,27.5,37.2,81.7,81.0,89.3,84.1,86.4,86.2,80,90,5.789086218,-7.177689458,488390.01,30386367280,0.0016072668558885
4,Australia,2018,-4.33144280975,4.507627704133333,1.50,1.3,0.2,1.9,45.0,30.0,27.8,36.0,78.7,80.9,89.1,79.7,87.4,86.2,80,90,-6.845064849,10.63999071,187548.03,66562087763,0.0002817640436216
5,Australia,2019,7.115550176666666,-7.591031005818333,0.75,2.0,-1.25,1.2,45.0,30.0,28.2,36.5,79.1,80.9,88.3,84.1,86.6,87.6,80,90,20.26521884,0.6189477351,184956.39,199888313632,9.252986662367362e-05
6,Australia,2020,10.04135941025,-2.5086548274999996,0.10,2.0,-1.9,0.9,45.0,30.0,27.8,35.8,82.8,82.6,87.8,84.0,86.2,88.2,80,90,-1.54694644,-8.94610123,153728.42,5364487230960,2.8656684857555266e-06
7,Australia,2021,12.355082766833334,-4.599717990034166,0.10,1.6,-1.5,2.6,45.0,30.0,28.5,37.4,81.5,82.4,87.4,84.1,86.7,89.8,80,90,11.37607911,6.062082398,1414105.5,17321689358183,8.16378512949118e-06
8,Australia,2022,-8.4065464715,4.013770739416667,3.10,0.9,2.2,2.5,45.0,30.0,28.7,40.2,91.7,77.7,84.6,64.2,83.2,90.0,80,90,-7.261055938,7.150476069,4436100.39,10964475110592,4.0458848647616507e-05
9,Brazil,2014,-6.9306229586666666,8.67824089725,11.75,5.4,6.35,7.9,27.5,34.0,34.8,39.1,50.0,56.9,53.8,49.8,69.9,69.3,55,60,-0.6634750998,12.49999747,25075.822,287702640,0.0087158817868337
10,Brazil,2015,2.7741817934166666,5.925743863250001,14.25,6.2,8.05,7.7,27.5,34.0,35.3,40.4,50.0,56.6,53.6,52.1,69.4,69.6,50,60,-10.64066623,49.07879033,39307.095,383432300,0.0102513781441991
11,Brazil,2016,6.207993055749999,-0.048286290074999925,13.75,6.3,7.45,7.8,27.5,34.0,33.4,38.6,45.0,56.5,61.4,52.5,64.2,69.4,55,50,42.9178235,-17.80271557,49311.86,1028608400,0.0047940362921399
12,Brazil,2017,32.993191121083335,-7.413732425,7.00,9.0,-2.0,7.8,27.5,34.0,32.8,41.9,55.0,52.9,61.3,52.3,67.0,69.4,50,50,28.214939,1.807950731,137875.77,30386367280,0.0004537421954046
13,Brazil,2018,-5.773035443916666,5.195341282833334,6.50,8.7,-2.2,8.3,27.5,34.0,32.0,40.5,55.8,51.4,58.6,46.8,71.4,68.5,50,50,12.83331836,17.00643588,92366.61,66562087763,0.000138767597448
14,Brazil,2019,7.0404110021666675,-5.761493911083334,4.50,3.4,1.1,8.0,27.5,34.0,32.2,38.6,57.3,51.9,57.9,51.9,75.5,69.0,50,50,27.4161649,3.652643673,115157.75,199888313632,5.76110468428928e-05
15,Brazil,2020,10.210423958083334,-2.5527802489166667,2.00,3.7,-1.7,8.6,27.5,34.0,32.3,38.9,57.3,53.7,60.5,49.5,77.2,67.8,60,50,0.6181845783,29.26326204,77056.08,5364487230960,1.4364109127762889e-06
16,Brazil,2021,12.11744073475,-4.257732248321667,9.25,3.7,5.55,10.2,27.5,34.0,32.9,38.1,55.0,53.4,58.0,50.7,77.8,64.6,60,50,-11.58589045,7.308282269,134255.28,17321689358183,7.750703596157956e-07
17,Brazil,2022,-8.252206119916666,4.428971123491666,13.75,3.2,10.55,10.0,27.5,34.0,33.1,39.2,50.3,53.3,63.2,55.9,78.4,60.0,60,50,5.878447297,-5.127287837,182941.07,10964475110592,1.6684890809161822e-06
18,Canada,2014,-3.6336359858166674,15.639927520408333,1.00,1.5,-0.5,0.9,29.0,15.0,31.0,41.9,90.0,80.2,89.3,83.1,76.3,88.3,80,80,7.637081847,9.280280877,9230.8297,287702640,0.0032084619383402
19,Canada,2015,-0.7120148805249995,-0.4448540761666668,0.50,1.0,-0.5,0.8,29.0,15.0,30.7,41.5,90.0,79.1,89.0,76.1,77.9,88.4,80,80,-11.81873138,19.53674093,33100.06,383432300,0.0086325695566075
20,Canada,2016,7.602737992333334,-2.7148743434666667,0.50,1.9,-1.4,1.5,29.0,15.0,30.6,40.7,90.0,78.0,81.8,72.6,76.9,87.0,80,80,18.25916965,-2.839530564,72226.093,1028608400,0.0070217288717455
21,Canada,2017,27.943116725033335,-12.49907974925,1.00,1.1,-0.1,0.8,33.0,15.0,30.8,40.3,88.3,78.5,81.9,73.1,77.8,88.4,80,80,5.233393556,-6.770989497,253946.75,30386367280,0.0008357259282097
22,Canada,2018,-4.082057721,5.537311310333333,1.75,1.4,0.35,1.0,33.0,15.0,31.9,39.9,87.5,77.7,81.8,71.3,77.5,88.1,80,80,-12.18332072,8.407948045,162769.7,66562087763,0.0002445381529791
23,Canada,2019,6.487521344,-9.050448192666666,1.75,1.6,0.15,1.6,33.0,15.0,31.7,40.3,87.0,77.7,81.9,73.7,77.2,86.8,80,80,18.93191813,-4.121279129,34311.31,199888313632,1.7165240616901738e-05
24,Canada,2020,10.0478361315,-2.784672605166667,0.25,0.9,-0.65,1.5,33.0,15.0,32.2,40.5,87.7,78.2,81.7,72.0,76.0,87.0,80,80,1.949709887,-2.37278575,48853.98,5364487230960,9.106924463917004e-07
25,Canada,2021,12.360531938916667,-4.924711734516667,0.25,1.9,-1.65,3.1,33.0,15.0,33.0,40.9,84.5,77.9,81.4,72.4,76.1,88.8,80,80,21.08079642,-0.04940135912,1148412.899,17321689358183,6.629912794605535e-06
26,Canada,2022,-8.42462415525,3.9494520715,4.25,0.7,3.55,3.4,33.0,15.0,33.5,44.9,89.5,76.6,78.8,68.7,78.2,83.2,80,80,-8.718949023,6.336900832,47333.83,10964475110592,4.3170174151131196e-07
27,Colombia,2014,-5.904774638,0.11987162616666636,4.50,3.2,1.3,5.6,33.0,25.0,15.1,28.9,50.0,70.7,85.2,80.5,78.8,78.8,75,70,2.268893394,15.19216901,678.03176,287702640,0.0002356710247775
28,Colombia,2015,2.0202672651333327,-7.180767319841667,5.75,2.0,3.75,4.4,33.0,25.0,16.1,28.3,50.0,71.7,81.5,81.7,80.1,81.2,80,70,2.046828103,16.96259148,1774.8959,383432300,0.0004628968138573
29,Colombia,2016,7.406947073975001,-10.712686077,7.50,2.9,4.6,4.5,33.0,25.0,16.5,29.2,50.0,70.8,78.2,77.6,79.6,81.0,80,70,8.380169124,-7.554896301,3316.2514,1028608400,0.000322401742004
30,Colombia,2017,31.227900845500002,-23.696730176216665,4.75,5.0,-0.25,4.2,33.0,25.0,16.7,29.6,63.8,69.7,77.1,77.9,77.0,81.6,80,70,8.008123819,-6.148323302,8504.176,30386367280,2.7986813697198223e-05
31,Colombia,2018,-4.767506029416667,-0.9173033176000001,4.25,7.5,-3.25,4.2,33.0,25.0,16.1,29.2,60.7,68.9,78.6,75.2,73.9,81.6,80,70,-16.77596875,12.87434447,12048.9226,66562087763,1.81017798643895e-05
32,Colombia,2019,7.9036806303333345,-13.96137741125,4.25,4.3,-0.05,7.0,33.0,33.0,19.9,28.9,59.2,67.3,71.4,78.5,75.6,76.0,80,70,3.004127373,5.58039109,6648.55993,199888313632,3.3261373860205686e-06
33,Colombia,2020,9.627605614624999,-5.599715226008333,1.75,3.2,-1.45,4.4,39.0,33.0,18.8,27.7,61.1,69.2,71.3,78.0,77.5,81.2,80,70,-0.8334262928,-2.895385394,16043.193053,5364487230960,2.9906293672226705e-07
34,Colombia,2021,12.913446797,-6.650187706772499,3.00,3.5,-0.5,6.5,39.0,32.0,22.0,32.0,59.8,68.1,71.0,77.7,78.1,77.0,80,70,19.1697233,19.76090014,3509.277,17321689358183,2.0259438484515773e-08
35,Colombia,2022,-7.918273601843333,3.3908018263333335,12.00,2.5,9.5,6.8,39.0,31.0,19.7,33.7,50.9,65.1,68.8,60.7,79.3,76.4,80,70,-8.456869634,0.5284791544,2613.956,10964475110592,2.3840229227889285e-08
36,Czech Republic,2014,-5.905264881191667,5.098475627333333,0.05,3.3,-3.25,1.1,15.0,19.0,35.3,43.3,70.0,72.2,70.1,84.0,79.4,87.8,80,80,-99.9748453,14.65990624,681.4242,287702640,0.0002368501728034
37,Czech Republic,2015,5.800749260750002,-13.335119980374166,0.05,1.4,-1.35,1.0,15.0,19.0,35.5,44.5,75.0,72.5,68.2,82.9,81.2,88.0,80,80,-0.7142787892,8.546115892,2513.2803,383432300,0.0006554691141043
38,Czech Republic,2016,6.896878513000001,-5.042957134791666,0.05,0.4,-0.35,1.0,15.0,19.0,34.1,41.9,75.0,73.2,66.6,77.7,84.1,88.0,80,80,-1.77142017,3.419983602,1847.8504,1028608400,0.0001796456649585
39,Czech Republic,2017,27.187547164241664,-13.741109045866667,0.50,0.3,0.2,1.5,15.0,19.0,33.5,42.9,70.3,73.3,67.2,77.7,85.8,87.0,80,80,15.57576176,-16.27499613,678.858591,30386367280,2.2340893359991007e-06
40,Czech Republic,2018,-3.3604532472499997,7.815451617249999,1.75,0.7,1.05,1.6,15.0,19.0,33.5,41.4,73.0,74.2,72.5,76.8,85.2,86.9,80,80,-8.959537182,5.105175651,2128.9924650000003,66562087763,3.198506141484714e-06
41,Czech Republic,2019,6.646470430000001,-7.568357848325,2.00,2.4,-0.4,2.0,15.0,19.0,34.0,40.0,74.8,73.7,72.4,78.1,81.5,86.0,80,80,12.76165746,0.808491129,37879.553,199888313632,1.8950358983836004e-05
42,Czech Republic,2020,9.841371805083334,-3.2233457015,0.25,2.2,-1.95,1.8,15.0,19.0,34.9,39.7,76.8,74.8,69.7,77.6,80.8,86.4,80,80,-8.610121503,-5.928179083,14544.7336,5364487230960,2.711299882691146e-07
43,Czech Republic,2021,12.578249157583334,-4.8428218012499995,3.75,2.9,0.85,3.0,22.0,19.0,35.3,40.2,76.2,73.8,68.8,77.1,79.7,84.0,70,80,29.20905194,2.376641119,4914.144,17321689358183,2.8369888746899223e-08
44,Czech Republic,2022,-8.454049728333333,4.04751839885,7.00,3.2,3.8,2.9,23.0,19.0,34.9,42.9,88.8,74.4,80.6,56.5,79.0,79.2,70,80,6.100262679,3.844533827,6191.0973,10964475110592,5.646505863303225e-08
45,Indonesia,2014,-5.222501844416667,9.053172513,7.75,4.3,3.45,2.6,30.0,25.0,11.8,18.5,30.0,58.5,54.8,47.8,76.4,74.8,40,60,20.79099875,2.154959697,14.791572,287702640,5.141270862165186e-06
46,Indonesia,2015,2.4853498129166667,-2.2493026245,7.50,6.4,1.1,2.6,30.0,25.0,11.9,19.7,30.0,58.1,49.3,48.7,74.9,74.8,40,60,-12.39347423,11.47342995,40972.22436,383432300,0.0106856475993284
47,Indonesia,2016,7.036179519416667,-3.637527992666666,4.75,6.4,-1.65,2.3,30.0,25.0,11.8,19.1,30.0,59.4,54.0,49.3,74.3,80.4,40,60,17.03061857,-2.737450343,1178917.55,1028608400,0.1146128643320431
48,Indonesia,2017,28.029822480506834,-14.0855314447,4.25,6.4,-2.15,2.3,30.0,25.0,10.9,17.4,48.3,61.9,49.1,48.9,74.0,80.5,35,60,20.46414922,0.6832021387,393250.992,30386367280,0.0012941691528188
49,Indonesia,2018,-3.7794240870000007,4.848463725175001,6.00,3.5,2.5,2.3,30.0,25.0,10.4,17.6,49.3,64.2,57.3,50.3,81.6,80.5,40,60,-2.28323579,7.338840537,13625.47,66562087763,2.0470316448778845e-05
50,Indonesia,2019,7.007280209416667,-6.89373451335,5.00,3.8,1.2,2.6,30.0,25.0,10.4,16.9,52.2,65.8,69.3,49.3,77.4,79.8,45,60,1.914915231,-4.356490071,1168.9067,199888313632,5.847799097209805e-07
51,Indonesia,2020,10.027059140666667,-2.7765366738000004,3.75,3.2,0.55,2.1,30.0,25.0,11.5,16.7,59.8,67.2,70.0,49.2,78.4,80.8,50,60,-4.846087125,-0.6210247122,3268.1075,5364487230960,6.092115349140568e-08
52,Indonesia,2021,12.467203330416666,-4.869714789475,3.50,2.8,0.7,5.4,30.0,25.0,10.2,16.5,59.4,66.9,71.3,49.2,79.0,79.2,50,60,7.806583965,3.272283938,26859.185,17321689358183,1.550610015258781e-07
53,Indonesia,2022,-8.308778139583334,4.361301863058333,5.50,2.0,3.5,5.7,30.0,22.0,9.5,17.1,38.6,64.4,66.6,59.3,80.3,78.6,50,60,2.780232095,9.343934887,19517.946,10964475110592,1.7801076479388513e-07
54,Israel,2014,-6.041005676416666,2.6628347702916666,0.25,1.7,-1.45,3.5,48.0,25.0,32.6,44.6,75.0,68.4,73.2,63.0,80.6,82.9,80,70,5.74014693,12.51690608,6664.0479,287702640,0.0023162970975865
55,Israel,2015,0.9675308911291665,-5.535254156333334,0.10,1.5,-1.4,0.7,48.0,26.5,28.3,41.7,75.0,70.5,72.4,67.1,81.6,88.6,80,70,2.770025132,0.1163987176,6499.00404,383432300,0.0016949547651567
56,Israel,2016,7.04385475225,-3.868556223416667,0.10,0.5,-0.4,0.9,48.0,26.5,30.5,41.3,75.0,70.7,70.6,64.6,84.2,88.2,85,70,-2.209120971,-1.579116376,5132.02805,1028608400,0.0004989292377935
57,Israel,2017,28.594759112475003,-16.487454774416666,0.10,-0.6,0.7,1.0,48.0,25.0,31.1,40.3,71.9,69.7,69.9,64.3,84.9,88.0,75,70,6.654844349,-10.05538207,12330.21021,30386367280,4.0578099041525175e-05
58,Israel,2018,-3.5704614488333335,2.6303982985,0.25,-0.5,0.75,2.2,48.0,25.0,31.4,40.1,78.2,72.2,71.8,65.1,85.3,85.5,75,70,-3.7901349,9.081442157,6378.0089,66562087763,9.58204454570212e-06
59,Israel,2019,6.565383179333334,-7.7294213835333325,0.25,0.2,0.05,2.8,48.0,23.0,32.7,39.8,80.0,72.8,71.4,65.1,86.2,84.4,75,70,19.85320794,-8.052696819,3151.9427,199888313632,1.5768519143159189e-06
60,Israel,2020,10.122095973333334,-2.630810733368333,0.10,0.8,-0.7,1.9,48.0,23.0,32.7,39.4,82.3,74.0,72.2,64.4,84.9,86.2,75,70,-3.425488323,-7.120766909,3730.9207,5364487230960,6.954850555832779e-08
61,Israel,2021,12.188326897908333,-3.1866102221666672,0.10,0.8,-0.7,2.9,50.0,23.0,31.1,39.2,83.6,73.8,73.9,65.1,84.4,84.2,75,70,30.37918933,-3.393449764,3271.4762,17321689358183,1.8886588555835696e-08
62,Israel,2022,-8.51796762325,7.4064582157666665,3.25,-0.6,3.85,3.1,50.0,23.0,30.5,41.5,83.2,68.0,81.1,56.5,84.8,78.8,80,70,-12.52912808,13.36539939,1793.8803482,10964475110592,1.636084108091102e-08
63,Japan,2014,-4.230414671108334,14.03330305475,...,0.0,0.0,1.3,40.8,25.5,27.6,42.0,80.0,72.4,80.0,79.8,87.5,82.4,70,50,9.69200635,13.445391,25114.07042,287702640,0.0087291762147194
64,Japan,2015,0.8424325299200005,-3.8124438651166668,...,0.4,0.4,1.2,40.8,25.5,28.6,42.0,80.0,73.3,84.1,90.2,86.7,82.6,70,50,9.334407389,0.830414676,713097.688,383432300,0.1859774692951011
65,Japan,2016,7.0206009895,-3.922984711416667,...,2.7,2.7,1.2,40.8,23.9,30.3,42.3,80.0,73.1,82.5,83.9,81.2,82.6,70,60,3.59541149,-3.472809268,9959461.59,1028608400,0.9682461848454668
66,Japan,2017,28.47295665989167,-12.694359917583332,-0.10,0.8,-0.9,1.2,40.8,23.9,30.3,39.3,89.4,69.6,82.3,77.5,83.0,82.6,70,60,16.18226692,-2.917421401,18664822.12,30386367280,0.0614249868962947
67,Japan,2018,-3.7064180624999996,5.787226507058333,-0.10,-0.1,0.0,1.4,40.8,23.9,32.0,39.1,86.0,72.3,81.7,79.2,85.4,82.3,70,60,-14.85370339,-2.254704912,11446236.62,66562087763,0.0171963305309101
68,Japan,2019,7.191195745916667,-9.129269954333333,-0.10,0.5,-0.6,2.5,40.8,23.9,30.7,38.7,84.1,72.1,80.5,79.0,85.9,80.0,70,60,20.93173694,-1.320584345,8795251.85,199888313632,0.0044000830714857
69,Japan,2020,10.142529777750001,-2.6746421446666666,-0.10,1.0,-1.1,2.5,40.8,23.9,30.6,38.4,86.6,73.3,81.4,78.7,84.4,80.0,70,60,18.26906373,-5.283218836,12244611.09,5364487230960,0.0002282531500743
70,Japan,2021,12.419823812416666,-4.7861761865,-0.10,0.5,-0.6,2.3,40.8,23.9,31.4,37.5,87.8,74.1,85.9,79.0,85.1,80.4,60,60,5.625169323,11.58057145,5371113.85,17321689358183,3.10080254814327e-05
71,Japan,2022,-8.370489904916667,4.219101298641666,-0.10,0.0,-0.1,2.3,40.8,23.9,32.0,39.8,94.6,69.9,78.3,66.6,87.1,75.4,60,60,-10.94571071,15.5158446,2715124.45,10964475110592,2.476292227958192e-05
72,Malaysia,2014,-7.610301612108334,4.689996663266666,3.25,1.7,1.55,4.3,26.0,25.0,15.3,28.5,55.0,69.6,85.6,78.5,81.0,76.4,55,60,-4.948862818,6.725278657,1642.173,287702640,0.0005707882972502
73,Malaysia,2015,2.3261457855833334,-2.7847826670500004,3.25,2.1,1.15,5.0,26.0,25.0,16.1,29.5,55.0,70.8,93.5,75.7,80.8,80.0,55,60,-3.437987248,22.8260894,18015.443,383432300,0.0046984677608015
74,Malaysia,2016,6.006691357833334,-5.605238222161667,3.00,3.1,-0.1,4.3,25.0,25.0,15.8,29.3,55.0,71.5,91.4,71.5,84.5,81.4,60,60,-0.7040175328,4.413131078,79554.27,1028608400,0.0077341649164055
75,Malaysia,2017,31.208825360833334,-20.787799478833332,3.00,2.1,0.9,4.4,28.0,24.0,14.8,25.2,85.3,73.8,90.8,73.1,85.3,81.2,60,50,9.861025258,-9.470282681,73243.2,30386367280,0.0002410396719196
76,Malaysia,2018,-6.078765232166667,2.2360151923583333,3.25,2.1,1.15,1.3,25.0,25.0,13.8,24.9,83.8,74.5,83.9,75.8,85.6,87.4,60,50,-5.167442511,2.269091285,22827.4937,66562087763,3.429503861309044e-05
77,Malaysia,2019,16.43381107832,-207.7881264813333,3.00,3.8,-0.8,4.0,25.0,25.0,13.8,23.7,84.1,74.0,83.9,74.4,78.6,82.0,60,50,-4.75687912,-1.059989124,1348.248155,199888313632,6.745007401894254e-07
78,Malaysia,2020,9.54771504275,-2.4213346405833334,1.75,1.0,0.75,4.0,25.0,25.0,13.6,22.6,86.5,74.7,87.8,74.5,81.6,82.0,60,50,1.541963241,-1.75310516,16751.882,5364487230960,3.122736857927459e-07
79,Malaysia,2021,12.445793877016667,-3.658300360783333,1.75,0.7,1.05,3.8,30.0,24.0,12.0,22.8,85.1,74.4,86.7,73.9,83.6,82.4,60,50,-2.186482847,3.382908643,26069.56,17321689358183,1.5050241036498206e-07
