Country,Year,Stock_Market_Returns,Currency_Returns
Argentina,2014,61.23817703,29.86109332
Argentina,2015,34.71643911,52.97065883
Argentina,2016,46.88738074,22.92744935
Argentina,2017,71.23588194,20.53047083
Argentina,2018,-2.547260913,96.54274288
Argentina,2019,34.00628674,58.88567042
Argentina,2020,24.61746175,40.50111694
Argentina,2021,64.59417068,22.03752316
Argentina,2022,136.138368,72.22914955
Australia,2014,0.8029229017,8.932863822
Australia,2015,-2.57547053,12.34143477
Australia,2016,7.500233463,0.6920686872
Australia,2017,5.789086218,-7.177689458
Australia,2018,-6.845064849,10.63999071
Australia,2019,20.26521884,0.6189477351
Australia,2020,-1.54694644,-8.94610123
Australia,2021,11.37607911,6.062082398
Australia,2022,-7.261055938,7.150476069
Brazil,2014,-0.6634750998,12.49999747
Brazil,2015,-10.64066623,49.07879033
Brazil,2016,42.9178235,-17.80271557
Brazil,2017,28.214939,1.807950731
Brazil,2018,12.83331836,17.00643588
Brazil,2019,27.4161649,3.652643673
Brazil,2020,0.6181845783,29.26326204
Brazil,2021,-11.58589045,7.308282269
Brazil,2022,5.878447297,-5.127287837
Canada,2014,7.637081847,9.280280877
Canada,2015,-11.81873138,19.53674093
Canada,2016,18.25916965,-2.839530564
Canada,2017,5.233393556,-6.770989497
Canada,2018,-12.18332072,8.407948045
Canada,2019,18.93191813,-4.121279129
Canada,2020,1.949709887,-2.37278575
Canada,2021,21.08079642,-0.04940135912
Canada,2022,-8.718949023,6.336900832
Colombia,2014,2.268893394,15.19216901
Colombia,2015,2.046828103,16.96259148
Colombia,2016,8.380169124,-7.554896301
Colombia,2017,8.008123819,-6.148323302
Colombia,2018,-16.77596875,12.87434447
Colombia,2019,3.004127373,5.58039109
Colombia,2020,-0.8334262928,-2.895385394
Colombia,2021,19.1697233,19.76090014
Colombia,2022,-8.456869634,0.5284791544
Czech Republic,2014,-99.9748453,14.65990624
Czech Republic,2015,-0.7142787892,8.546115892
Czech Republic,2016,-1.77142017,3.419983602
Czech Republic,2017,15.57576176,-16.27499613
Czech Republic,2018,-8.959537182,5.105175651
Czech Republic,2019,12.76165746,0.808491129
Czech Republic,2020,-8.610121503,-5.928179083
Czech Republic,2021,29.20905194,2.376641119
Czech Republic,2022,6.100262679,3.844533827
Indonesia,2014,20.79099875,2.154959697
Indonesia,2015,-12.39347423,11.47342995
Indonesia,2016,17.03061857,-2.737450343
Indonesia,2017,20.46414922,0.6832021387
Indonesia,2018,-2.28323579,7.338840537
Indonesia,2019,1.914915231,-4.356490071
Indonesia,2020,-4.846087125,-0.6210247122
Indonesia,2021,7.806583965,3.272283938
Indonesia,2022,2.780232095,9.343934887
Israel,2014,5.74014693,12.51690608
Israel,2015,2.770025132,0.1163987176
Israel,2016,-2.209120971,-1.579116376
Israel,2017,6.654844349,-10.05538207
Israel,2018,-3.7901349,9.081442157
Israel,2019,19.85320794,-8.052696819
Israel,2020,-3.425488323,-7.120766909
Israel,2021,30.37918933,-3.393449764
Israel,2022,-12.52912808,13.36539939
Japan,2014,9.69200635,13.445391
Japan,2015,9.334407389,0.830414676
Japan,2016,3.59541149,-3.472809268
Japan,2017,16.18226692,-2.917421401
Japan,2018,-14.85370339,-2.254704912
Japan,2019,20.93173694,-1.320584345
Japan,2020,18.26906373,-5.283218836
Japan,2021,5.625169323,11.58057145
Japan,2022,-10.94571071,15.5158446
Malaysia,2014,-4.948862818,6.725278657
Malaysia,2015,-3.437987248,22.8260894
Malaysia,2016,-0.7040175328,4.413131078
Malaysia,2017,9.861025258,-9.470282681
Malaysia,2018,-5.167442511,2.269091285
Malaysia,2019,-4.75687912,-1.059989124
Malaysia,2020,1.541963241,-1.75310516
Malaysia,2021,-2.186482847,3.382908643
Malaysia,2022,-3.457606721,5.957086373
Mexico,2014,2.268893394,13.08951405
Mexico,2015,2.046828103,17.22490513
Mexico,2016,8.380169124,19.96715825
Mexico,2017,8.008123819,-5.129108046
Mexico,2018,-16.77596875,-0.05097483427
Mexico,2019,3.004127373,-3.704031289
Mexico,2020,-0.8334262928,5.144387816
Mexico,2021,19.1697233,2.856588062
Mexico,2022,-8.456869634,-4.895137362
New Zealand,2014,16.75892296,5.002053185
New Zealand,2015,12.88079919,14.47935717
New Zealand,2016,9.606729867,-1.834236996
New Zealand,2017,20.41449273,-1.710935539
New Zealand,2018,4.585916856,5.749918569
New Zealand,2019,31.60116024,-0.4017941924
New Zealand,2020,12.92574786,-6.661029603
New Zealand,2021,-2.497677973,5.636306679
New Zealand,2022,-12.75354525,7.635032177
Russia,2014,-0.9988041071,73.05526976
Russia,2015,10.67781341,29.47312868
Russia,2016,28.71966927,-17.60030288
Russia,2017,-5.992305836,-4.594531205
Russia,2018,8.101593183,20.76173212
Russia,2019,10.37669251,-10.86014339
Russia,2020,10.30141228,20.25283293
Russia,2021,5.696848034,0.01274602907
Russia,2022,8.619136501,-0.7600885782
Singapore,2014,6.000661675,4.67634222
Singapore,2015,-14.47402665,7.052694722
Singapore,2016,1.579355195,2.238196424
Singapore,2017,17.38375893,-7.494863999
Singapore,2018,-10.53960394,2.119150476
Singapore,2019,6.052874308,-1.315372811
Singapore,2020,-12.55196622,-1.872158215
Singapore,2021,9.261605455,2.189819894
Singapore,2022,3.735186037,-0.6205997314
South Africa,2014,6.827479887,11.66859644
South Africa,2015,2.373419456,34.41082019
South Africa,2016,2.710911607,-12.62005186
South Africa,2017,16.62858084,-8.684054762
South Africa,2018,-11.70963491,16.29462431
South Africa,2019,11.3530671,-2.197043863
South Africa,2020,2.929206985,3.849394218
South Africa,2021,21.87515743,8.522466285
South Africa,2022,-0.914280337,6.491876894
South Korea,2014,-2.623029658,3.839590266
South Korea,2015,1.81008068,7.316706748
South Korea,2016,5.612997489,2.539483014
South Korea,2017,21.78159418,-11.26700167
South Korea,2018,-17.68837862,4.376858037
South Korea,2019,9.336812034,3.587738512
South Korea,2020,32.10324131,-6.047471191
South Korea,2021,1.127543403,9.523937935
South Korea,2022,-25.18499988,5.913991567
Switzerland,2014,8.619957773,10.73720895
Switzerland,2015,-1.350954216,-0.05462784359
Switzerland,2016,-5.041865123,2.945344289
Switzerland,2017,12.81466334,-3.77543951
Switzerland,2018,-11.07320376,0.5006680629
Switzerland,2019,25.4066641,-1.521960578
Switzerland,2020,0.03448144938,-8.986921659
Switzerland,2021,20.39977543,3.643457153
Switzerland,2022,-17.07813982,1.001425893
Thailand,2014,21.68561309,0.4924278929
Thailand,2015,-13.16231117,9.556852587
Thailand,2016,22.1250346,-0.3278143011
Thailand,2017,12.15991572,-8.952556256
Thailand,2018,-12.068957,-0.4347091904
Thailand,2019,0.8876473514,-7.852659832
Thailand,2020,-9.178351921,-0.1701657955
Thailand,2021,12.89843664,11.38407054
Thailand,2022,-0.09698943224,3.765944604
Turkey,2014,2.929206985,8.152169147
Turkey,2015,21.87515743,25.71800765
Turkey,2016,-0.914280337,20.46204424
Turkey,2017,-2.623029658,7.370364305
Turkey,2018,1.81008068,39.64722211
Turkey,2019,5.612997489,12.7588935
Turkey,2020,21.78159418,23.98617119
Turkey,2021,-17.68837862,80.24119893
Turkey,2022,9.336812034,40.7245026
United Kingdom,2014,-2.259631833,-6.006542705
United Kingdom,2015,-4.665689378,-4.816234955
United Kingdom,2016,17.22191091,-17.08036464
United Kingdom,2017,7.103747744,9.381712054
United Kingdom,2018,-12.02913126,-5.559782209
United Kingdom,2019,12.00142086,3.304481983
United Kingdom,2020,-15.0414875,3.947441866
United Kingdom,2021,12.36476681,-0.9705332996
United Kingdom,2022,-0.7128390797,-10.68311094
United States,2014,12.38659397,...
United States,2015,-0.6928388934,...
United States,2016,11.23736946,...
United States,2017,18.41502748,...
United States,2018,-7.009394461,...
United States,2019,28.7147959,...
United States,2020,15.29290654,...
United States,2021,28.79305802,...
United States,2022,-19.95305066,...